Escuela_DE,I_02,I_36,I_710,I_1114,I_06,I_714,I_314,Cob_est,Public + social secutity,pob,vincNBI,preciom2,Dist_CESAC,NEAR_FID,POINT_X,POINT_Y,DE,COMUNA,BARRIO
3_11,41.1,27.4,16.8,14.7,68.5,31.6,58.9,36.8,63.2,62008,1.16,2509.960977,1691.786113,17,98303.0898,99402.8971,11,10,VELEZ SARSFIELD
3_12,10.5,32.7,24.7,32.1,43.2,56.8,89.5,86.4,13.6,69792,0.792682927,2399.068271,1489.840514,17,98468.1734,99799.8809,12,10,FLORESTA
3_13,16,34.7,21.3,28,50.7,49.3,84,74.7,25.3,43008,1.215686275,2361.233928,717.95839,19,96689.1081,97284.0127,13,9,MATADEROS
3_14,37,26,24.7,12.3,63,37,63,49.3,50.7,58924,0.913043478,2485.186877,1718.349596,22,99262.369,104887.7321,14,15,VILLA ORTUZAR
3_15,28.4,37.7,22.2,11.7,66.1,34,71.6,46.9,53.1,66864,2.084337349,2155.002956,1361.595039,22,97954.5066,107456.7287,15,12,VILLA URQUIZA
3_16,55.8,29.5,10.3,4.5,85.3,14.7,44.2,27.2,72.8,51837,1.619047619,2822.234172,2001.918854,23,97068.3955,104331.8368,16,15,AGRONOMIA
3_17,39.4,31.8,15.2,13.6,71.2,28.8,60.6,30.3,69.7,48309,1.828125,2657.158796,1087.197577,29,97598.3216,102858.848,17,11,VILLA DEL PARQUE
3_18,34.8,27.3,22.7,15.2,62.1,37.9,65.2,57.6,42.4,59825,1.765625,2419.076653,1180.611777,17,96256.2809,101162.9428,18,10,MONTE CASTRO
3_19,17.1,25.7,28.6,28.6,42.8,57.1,82.9,77.1,22.9,110089,3.253846154,2510.691256,1121.169283,16,103786.9699,97830.7022,19,4,NUEVA POMPEYA
3_2,36.9,33.3,16.2,13.5,70.2,29.7,63.1,45,55,84366,3.470588235,3075.339596,874.7106882,1,103045.2,102906.6181,2,5,ALMAGRO
3_20,30.9,35.1,15.5,18.6,66,34,69.1,55.7,44.3,31163,2.225,2361.204021,2420.135224,19,94207.2239,98699.0849,20,9,LINIERS
3_21,13.5,29.1,25.1,32.4,42.6,57.4,86.5,84.9,15.1,52311,0.196078431,1823.230386,491.1221207,15,99181.9455,94759.9653,21,8,VILLA LUGANO
3_3,42.7,31.1,15.9,10.4,73.8,26.2,57.3,54.9,45.1,48433,0.095238095,2352.616304,896.9515139,11,107725.0388,101599.4512,3,1,MONTSERRAT
3_6,15.3,34.4,22.1,28.2,49.7,50.4,84.7,61.8,38.2,111436,3.689189189,2233.382186,1210.087443,26,105113.0728,100996.5746,6,3,SAN CRISTOBAL
3_7,62.9,25.4,6.3,5.4,88.3,11.7,37.1,11.7,88.3,64288,0.758064516,2083.287772,1482.359305,1,102732.1487,101516.6628,7,6,CABALLITO
3_8,56.2,25.6,13.2,5,81.8,18.2,43.8,12.4,87.6,95799,1.588235294,2651.861669,1906.584181,14,101486.1246,100269.7435,8,6,CABALLITO
3_9,48,28,16,8,76,24,52,42,58,105138,1.421052632,2654.970818,1530.821756,8,101940.3671,106288.5878,9,13,COLEGIALES
